candidate_x,candidate_y,candidate_z,count
Cory Booker,Kamala Harris,Kirsten Gillibrand,33
Amy Klobuchar,Kamala Harris,Kirsten Gillibrand,27
Beto O'Rourke,Kamala Harris,Pete Buttigieg,26
Amy Klobuchar,Kamala Harris,Pete Buttigieg,22
Amy Klobuchar,Beto O'Rourke,Pete Buttigieg,19
Elizabeth Warren,Kamala Harris,Pete Buttigieg,17
Amy Klobuchar,Elizabeth Warren,Kamala Harris,17
Amy Klobuchar,Cory Booker,Kamala Harris,17
Elizabeth Warren,Kamala Harris,Kirsten Gillibrand,16
Cory Booker,Kamala Harris,Pete Buttigieg,14
Amy Klobuchar,Beto O'Rourke,Kamala Harris,10
Cory Booker,Elizabeth Warren,Kamala Harris,10
Amy Klobuchar,Elizabeth Warren,Kirsten Gillibrand,10
Amy Klobuchar,Cory Booker,Kirsten Gillibrand,10
Amy Klobuchar,Jay Inslee,Pete Buttigieg,10
Beto O'Rourke,Elizabeth Warren,Pete Buttigieg,9
Bernie Sanders,Elizabeth Warren,Pete Buttigieg,9
Beto O'Rourke,Cory Booker,Kamala Harris,9
Amy Klobuchar,Elizabeth Warren,Pete Buttigieg,8
Bernie Sanders,Elizabeth Warren,Kamala Harris,7
Beto O'Rourke,Elizabeth Warren,Kamala Harris,7
Kamala Harris,Kirsten Gillibrand,Pete Buttigieg,7
Amy Klobuchar,Kirsten Gillibrand,Pete Buttigieg,7
Cory Booker,Jay Inslee,Kamala Harris,6
Beto O'Rourke,John Hickenlooper,Pete Buttigieg,5
Cory Booker,Julián Castro,Kamala Harris,5
Cory Booker,Kirsten Gillibrand,Pete Buttigieg,5
Bernie Sanders,Beto O'Rourke,Elizabeth Warren,5
Amy Klobuchar,Cory Booker,Pete Buttigieg,5
Amy Klobuchar,John Hickenlooper,Pete Buttigieg,4
Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,4
Beto O'Rourke,Elizabeth Warren,Jay Inslee,4
Beto O'Rourke,Cory Booker,Kirsten Gillibrand,4
Elizabeth Warren,Jay Inslee,Pete Buttigieg,4
Cory Booker,Jay Inslee,Kirsten Gillibrand,4
Amy Klobuchar,Jay Inslee,Kamala Harris,4
Beto O'Rourke,Kamala Harris,Kirsten Gillibrand,4
Cory Booker,John Hickenlooper,Kamala Harris,4
Beto O'Rourke,Cory Booker,Pete Buttigieg,3
Beto O'Rourke,John Hickenlooper,Kamala Harris,3
Elizabeth Warren,Kirsten Gillibrand,Pete Buttigieg,3
Cory Booker,Jay Inslee,Pete Buttigieg,3
Cory Booker,John Hickenlooper,Kirsten Gillibrand,3
Beto O'Rourke,Cory Booker,Elizabeth Warren,3
Bernie Sanders,Kamala Harris,Pete Buttigieg,3
Elizabeth Warren,Julián Castro,Kamala Harris,3
Bernie Sanders,Jay Inslee,Kamala Harris,3
Beto O'Rourke,Julián Castro,Pete Buttigieg,3
Cory Booker,Jay Inslee,John Hickenlooper,3
Cory Booker,Elizabeth Warren,Pete Buttigieg,3
Cory Booker,Julián Castro,Pete Buttigieg,3
Bernie Sanders,Beto O'Rourke,Kamala Harris,3
Amy Klobuchar,John Hickenlooper,Kirsten Gillibrand,3
Amy Klobuchar,Beto O'Rourke,John Hickenlooper,3
Amy Klobuchar,Beto O'Rourke,Julián Castro,3
Amy Klobuchar,Cory Booker,Elizabeth Warren,3
Amy Klobuchar,Julián Castro,Pete Buttigieg,3
Julián Castro,Kamala Harris,Pete Buttigieg,3
